 rt 	  est 	  resp 	  laten 	  good 	  SU 
 327	 1	 4	 455437	 1	 P_MM_06101994
 437	 1	 4	 457280	 1	 P_MM_06101994
 266	 1	 4	 458389	 1	 P_MM_06101994
 266	 1	 4	 459701	 1	 P_MM_06101994
 312	 1	 4	 460687	 1	 P_MM_06101994
 250	 1	 4	 462671	 1	 P_MM_06101994
 -99	 2	 -99	 464874	 1	 P_MM_06101994
 265	 1	 4	 466859	 1	 P_MM_06101994
 283	 1	 4	 468576	 1	 P_MM_06101994
 280	 1	 4	 469796	 1	 P_MM_06101994
 329	 1	 4	 472201	 1	 P_MM_06101994
 313	 1	 4	 473499	 1	 P_MM_06101994
 -99	 2	 -99	 474576	 1	 P_MM_06101994
 298	 1	 4	 476639	 1	 P_MM_06101994
 250	 1	 4	 478030	 1	 P_MM_06101994
 297	 1	 4	 480124	 1	 P_MM_06101994
 267	 1	 4	 482217	 1	 P_MM_06101994
 328	 1	 4	 484264	 1	 P_MM_06101994
 282	 1	 4	 486155	 1	 P_MM_06101994
 280	 1	 4	 487109	 1	 P_MM_06101994
 -99	 2	 -99	 488467	 1	 P_MM_06101994
 281	 1	 4	 490624	 1	 P_MM_06101994
 296	 1	 4	 491671	 1	 P_MM_06101994
 312	 1	 4	 493234	 1	 P_MM_06101994
 265	 1	 4	 494734	 1	 P_MM_06101994
 359	 1	 4	 495655	 1	 P_MM_06101994
 266	 1	 4	 497576	 1	 P_MM_06101994
 282	 1	 4	 499592	 1	 P_MM_06101994
 -99	 2	 -99	 501092	 1	 P_MM_06101994
 327	 1	 4	 502624	 1	 P_MM_06101994
 -99	 2	 -99	 503734	 1	 P_MM_06101994
 312	 1	 4	 504812	 1	 P_MM_06101994
 345	 1	 4	 506451	 1	 P_MM_06101994
 -99	 1	 -99	 507921	 1	 P_MM_06101994
 -99	 2	 -99	 509296	 1	 P_MM_06101994
 250	 1	 4	 511437	 1	 P_MM_06101994
 -99	 2	 -99	 512389	 1	 P_MM_06101994
