"","onset","duration","value","response","rt","good","SU","misport_code","misport_port","misport_time","misport_time_error","seq"
"182",342.2019,1,10,2,584.3,1,1,0,0,0,0,4
"183",343.8518,1,10,2,310.6,1,1,0,0,0,0,5
"184",345.6517,1,10,2,367,1,1,0,0,0,0,6
"185",347.1183,1,10,2,356.7,1,1,0,0,0,0,7
"186",348.6516,1,10,2,359.6,1,1,0,0,0,0,8
"187",350.3682,1,10,2,435.3,1,1,0,0,0,0,9
"188",351.7015,1,21,-99,-99,1,1,0,0,0,0,0
"189",353.0348,1,10,2,265,1,1,0,0,0,0,1
"190",354.468,1,10,2,320.1,1,1,0,0,0,0,2
"191",356.0846,1,10,2,415.8,1,1,0,0,0,0,3
"192",357.7346,1,21,-99,-99,1,1,0,0,0,0,0
"193",359.3845,1,10,2,268.3,1,1,0,0,0,0,1
"194",360.6511,1,10,2,346,1,1,0,0,0,0,2
"195",362.051,1,10,2,354.2,1,1,0,0,0,0,3
"196",363.2843,1,10,2,321.2,1,1,0,0,0,0,4
"197",364.7176,1,10,2,360.1,1,1,0,0,0,0,5
"198",366.4175,1,10,2,356.4,1,1,0,0,0,0,6
"199",367.8341,1,10,2,332.1,1,1,0,0,0,0,7
"200",368.9174,1,21,-99,-99,1,1,0,0,0,0,0
"201",370.0007,1,10,2,309.8,1,1,0,0,0,0,1
"202",371.3173,1,10,2,353.4,1,1,0,0,0,0,2
"203",372.8173,1,10,2,549.7,1,1,0,0,0,0,3
"204",374.6338,1,10,2,381.4,1,1,0,0,0,0,4
"205",375.9838,1,10,2,375.6,1,1,0,0,0,0,5
"206",377.767,1,10,2,368.7,1,1,0,0,0,0,6
"207",379.5003,1,10,2,363.7,1,1,0,0,0,0,7
"208",381.1336,1,21,-99,-99,1,1,0,0,0,0,0
"209",382.7668,1,10,2,297.7,1,1,0,0,0,0,1
"210",384.4334,1,21,2,295.4,1,1,0,0,0,0,0
"211",387.3166,1,10,2,388.6,1,1,0,0,0,0,1
"212",388.4499,1,10,2,663.5,1,1,0,0,0,0,2
"213",389.8665,1,10,2,495.1,1,1,0,0,0,0,3
"214",391.5165,1,21,-99,-99,1,1,0,0,0,0,0
"215",393.1664,1,10,2,443.8,1,1,0,0,0,0,1
"216",394.9163,1,21,-99,-99,1,1,0,0,0,0,0
"217",396.6662,1,10,2,400.5,1,1,0,0,0,0,1
"218",397.9495,1,10,2,413.4,1,1,0,0,0,0,2
"219",399.4161,1,10,2,435,1,1,0,0,0,0,3
"220",400.9327,1,10,2,342.6,1,1,0,0,0,0,4
"221",402.1327,1,10,2,390.8,1,1,0,0,0,0,5
"222",403.9659,1,21,2,381.9,1,1,0,0,0,0,0
"223",405.7992,1,10,2,356.9,1,1,0,0,0,0,1
"224",407.0325,1,10,2,531.8,1,1,0,0,0,0,2
"225",408.8324,1,10,2,380.2,1,1,0,0,0,0,3
"226",410.1157,1,21,-99,-99,1,1,0,0,0,0,0
"227",411.3989,1,10,2,310,1,1,0,0,0,0,1
"228",412.6156,1,10,-99,-99,1,1,0,0,0,0,2
"229",413.7988,1,10,-99,-99,1,1,0,0,0,0,3
"230",415.2654,1,10,2,332.1,1,1,0,0,0,0,4
"231",416.6321,1,10,2,405.7,1,1,0,0,0,0,5
"232",417.6987,1,10,2,475.3,1,1,0,0,0,0,6
"233",419.2153,1,10,2,430.9,1,1,0,0,0,0,7
"234",420.5152,1,21,-99,-99,1,1,0,0,0,0,0
"235",421.8152,1,10,2,311.4,1,1,0,0,0,0,1
"236",423.4651,1,10,2,325.7,1,1,0,0,0,0,2
"237",425.1817,1,10,2,337.4,1,1,0,0,0,0,3
"238",426.565,1,21,-99,-99,1,1,0,0,0,0,0
"239",427.9482,1,10,2,339.3,1,1,0,0,0,0,1
"240",429.7315,1,10,2,492.3,1,1,0,0,0,0,2
"241",431.8814,1,10,2,470.8,1,1,0,0,0,0,3
"242",432.7314,1,10,-99,-99,1,1,0,0,0,0,4
"243",434.148,1,10,2,316.5,1,1,0,0,0,0,5
"244",435.5646,1,10,2,404.2,1,1,0,0,0,0,6
"245",437.1645,1,10,2,420.4,1,1,0,0,0,0,7
"246",438.2645,1,21,-99,-99,1,1,0,0,0,0,0
"247",439.3644,1,10,2,364.9,1,1,0,0,0,0,1
"248",440.7144,1,21,-99,-99,1,1,0,0,0,0,0
"249",442.0643,1,10,2,321.4,1,1,0,0,0,0,1
"250",443.8642,1,10,2,441.8,1,1,0,0,0,0,2
"251",445.6308,1,10,2,419.5,1,1,0,0,0,0,3
"252",446.8308,1,10,2,659.7,1,1,0,0,0,0,4
"253",448.4474,1,10,2,339.3,1,1,0,0,0,0,5
"254",449.5973,1,21,-99,-99,1,1,0,0,0,0,0
"255",450.7473,1,10,2,327.7,1,1,0,0,0,0,1
"256",452.3139,1,10,2,377.4,1,1,0,0,0,0,2
"257",453.7138,1,10,2,353.8,1,1,0,0,0,0,3
"258",454.8971,1,21,-99,-99,1,1,0,0,0,0,0
"259",456.0804,1,10,2,307.5,1,1,0,0,0,0,1
"260",457.747,1,10,2,305.2,1,1,0,0,0,0,2
"261",458.8136,1,10,2,438.7,1,1,0,0,0,0,3
"262",460.5468,1,10,2,337.9,1,1,0,0,0,0,4
"263",461.6635,1,10,2,341.3,1,1,0,0,0,0,5
"264",463.4801,1,21,2,413,1,1,0,0,0,0,0
"265",465.2966,1,10,2,388.8,1,1,0,0,0,0,1
"266",466.7132,1,10,2,460.4,1,1,0,0,0,0,2
"267",468.3632,1,10,2,442.7,1,1,0,0,0,0,3
"268",469.5965,1,21,-99,-99,1,1,0,0,0,0,0
"269",470.8297,1,10,2,312.5,1,1,0,0,0,0,1
"270",472.0297,1,10,2,584.7,1,1,0,0,0,0,2
"271",473.9129,1,10,2,381.9,1,1,0,0,0,0,3
"272",474.8795,1,10,-99,-99,1,1,0,0,0,0,4
"273",475.9628,1,10,2,348.2,1,1,0,0,0,0,5
"274",477.2961,1,21,-99,-99,1,1,0,0,0,0,0
"275",478.6294,1,10,2,370.1,1,1,0,0,0,0,1
"276",480.1793,1,21,-99,-99,1,1,0,0,0,0,0
"277",481.7293,1,10,2,390.6,1,1,0,0,0,0,1
"278",483.0459,1,10,2,418.2,1,1,0,0,0,0,2
"279",484.3292,1,10,2,495.1,1,1,0,0,0,0,3
"280",485.6791,1,10,2,393.5,1,1,0,0,0,0,4
"281",486.7457,1,10,2,447,1,1,0,0,0,0,5
"282",488.3123,1,21,-99,-99,1,1,0,0,0,0,0
"283",489.8789,1,10,2,338.3,1,1,0,0,0,0,1
"284",491.6455,1,10,2,396,1,1,0,0,0,0,2
"285",492.9621,1,10,2,311.6,1,1,0,0,0,0,3
"286",494.512,1,21,-99,-99,1,1,0,0,0,0,0
"287",496.062,1,10,2,364.2,1,1,0,0,0,0,1
"288",497.1453,1,21,-99,-99,1,1,0,0,0,0,0
"289",498.2286,1,10,2,422,1,1,0,0,0,0,1
"290",499.9285,1,10,2,498.3,1,1,0,0,0,0,2
"291",501.2118,1,10,2,415.2,1,1,0,0,0,0,3
"292",502.5951,1,10,2,664.1,1,1,0,0,0,0,4
"293",504.0116,1,10,2,447.9,1,1,0,0,0,0,5
"294",505.195,1,21,-99,-99,1,1,0,0,0,0,0
"295",506.3782,1,10,2,305.6,1,1,0,0,0,0,1
"296",508.2115,1,10,2,376.6,1,1,0,0,0,0,2
"297",509.7114,1,10,2,412.9,1,1,0,0,0,0,3
"298",511.1113,1,10,2,485.2,1,1,0,0,0,0,4
"299",512.228,1,10,2,712.7,1,1,0,0,0,0,5
"300",513.8946,1,21,-99,-99,1,1,0,0,0,0,0
"301",30.2154,1,10,1,606.9,1,2,0,0,0,0,1
"302",31.4153,1,10,1,415,1,2,0,0,0,0,2
"303",32.7486,1,10,1,345.7,1,2,0,0,0,0,3
