"","rt","est","resp","laten","good","SU","Age","Sex"
"331",265,1,4,102938,1,19,20,"F"
"332",313,1,4,104671,1,19,20,"F"
"333",361,1,4,106780,1,19,20,"F"
"334",264,2,4,108891,1,19,20,"F"
"335",266,1,4,110655,1,19,20,"F"
"336",266,1,4,112625,1,19,20,"F"
"337",313,1,4,113780,1,19,20,"F"
"338",-99,2,-99,114891,1,19,20,"F"
"339",265,1,4,116438,1,19,20,"F"
"340",266,1,4,118375,1,19,20,"F"
"341",329,1,4,119905,1,19,20,"F"
"342",280,1,4,121688,1,19,20,"F"
"343",345,1,4,122843,1,19,20,"F"
"344",282,1,4,125218,1,19,20,"F"
"345",282,1,4,127359,1,19,20,"F"
"346",-99,2,-99,128405,1,19,20,"F"
"347",375,1,4,129484,1,19,20,"F"
"348",282,1,4,130843,1,19,20,"F"
"349",297,1,4,132546,1,19,20,"F"
"350",283,1,4,134905,1,19,20,"F"
"351",282,1,4,136984,1,19,20,"F"
"352",343,1,4,138891,1,19,20,"F"
"353",281,1,4,141078,1,19,20,"F"
"354",-99,2,-99,143438,1,19,20,"F"
"355",280,1,4,145250,1,19,20,"F"
"356",265,1,4,146703,1,19,20,"F"
"357",468,1,4,147703,1,19,20,"F"
"358",264,2,4,149016,1,19,20,"F"
"359",282,1,4,151046,1,19,20,"F"
"360",266,1,4,152984,1,19,20,"F"
"361",282,1,4,154109,1,19,20,"F"
"362",-99,2,-99,155359,1,19,20,"F"
"363",298,1,4,156405,1,19,20,"F"
"364",250,1,4,158530,1,19,20,"F"
"365",375,1,4,159546,1,19,20,"F"
"366",345,1,4,161155,1,19,20,"F"
"367",313,1,4,162203,1,19,20,"F"
"368",297,1,4,164046,1,19,20,"F"
"369",391,1,4,165593,1,19,20,"F"
"370",-99,2,-99,166813,1,19,20,"F"
"371",267,1,4,168171,1,19,20,"F"
"372",297,1,4,170453,1,19,20,"F"
"373",312,1,4,171688,1,19,20,"F"
"374",-99,2,-99,172734,1,19,20,"F"
"375",327,1,4,174766,1,19,20,"F"
"376",313,1,4,176905,1,19,20,"F"
"377",266,1,4,178359,1,19,20,"F"
"378",-99,2,-99,179828,1,19,20,"F"
"379",297,1,4,180953,1,19,20,"F"
"380",296,1,4,182109,1,19,20,"F"
"381",312,1,4,183843,1,19,20,"F"
"382",281,1,4,185078,1,19,20,"F"
"383",298,1,4,187155,1,19,20,"F"
"384",266,1,4,188905,1,19,20,"F"
"385",313,1,4,190280,1,19,20,"F"
"386",313,2,4,191828,1,19,20,"F"
"387",312,1,4,194063,1,19,20,"F"
"388",282,2,4,196218,1,19,20,"F"
"389",296,1,4,197938,1,19,20,"F"
"390",-99,2,-99,199453,1,19,20,"F"
"391",313,1,4,201578,1,19,20,"F"
"392",296,1,4,203375,1,19,20,"F"
"393",328,1,4,205063,1,19,20,"F"
"394",-99,2,-99,206578,1,19,20,"F"
"395",390,1,4,208953,1,19,20,"F"
"396",280,1,4,210391,1,19,20,"F"
"397",358,1,4,212688,1,19,20,"F"
"398",423,1,4,213593,1,19,20,"F"
"399",391,1,4,215218,1,19,20,"F"
"400",-99,2,-99,216875,1,19,20,"F"
"401",375,1,4,263016,1,19,20,"F"
"402",359,1,4,264171,1,19,20,"F"
"403",375,1,4,265155,1,19,20,"F"
"404",-99,2,-99,266593,1,19,20,"F"
"405",312,1,4,267641,1,19,20,"F"
"406",-99,2,-99,269609,1,19,20,"F"
"407",313,1,4,270750,1,19,20,"F"
"408",360,1,4,272093,1,19,20,"F"
"409",342,1,4,273188,1,19,20,"F"
"410",-99,2,-99,274828,1,19,20,"F"
"411",313,1,4,276405,1,19,20,"F"
"412",280,1,4,278250,1,19,20,"F"
"413",312,1,4,279313,1,19,20,"F"
"414",-99,2,-99,281141,1,19,20,"F"
"415",313,1,4,282421,1,19,20,"F"
"416",312,2,4,284593,1,19,20,"F"
"417",298,1,4,286405,1,19,20,"F"
"418",407,1,4,288796,1,19,20,"F"
"419",312,1,4,289984,1,19,20,"F"
"420",359,1,4,291750,1,19,20,"F"
"421",391,1,4,293500,1,19,20,"F"
"422",-99,2,-99,294625,1,19,20,"F"
"423",392,1,4,296796,1,19,20,"F"
"424",296,1,4,298125,1,19,20,"F"
"425",296,1,4,299063,1,19,20,"F"
"426",-99,2,-99,300391,1,19,20,"F"
"427",280,1,4,301563,1,19,20,"F"
"428",280,1,4,303266,1,19,20,"F"
"429",280,1,4,305438,1,19,20,"F"
"430",297,1,4,307141,1,19,20,"F"
"431",389,1,4,309266,1,19,20,"F"
"432",280,2,4,311563,1,19,20,"F"
"433",282,1,4,313968,1,19,20,"F"
"434",250,1,4,315828,1,19,20,"F"
"435",329,1,4,317655,1,19,20,"F"
"436",-99,2,-99,319796,1,19,20,"F"
"437",296,1,4,321734,1,19,20,"F"
"438",283,1,4,323655,1,19,20,"F"
"439",345,1,4,325280,1,19,20,"F"
"440",345,1,4,327296,1,19,20,"F"
"441",375,1,4,329625,1,19,20,"F"
"442",-99,2,-99,331280,1,19,20,"F"
"443",312,1,4,332359,1,19,20,"F"
"444",312,1,4,333813,1,19,20,"F"
"445",345,1,4,335468,1,19,20,"F"
"446",375,1,4,336468,1,19,20,"F"
"447",375,1,4,337780,1,19,20,"F"
"448",-99,2,-99,340030,1,19,20,"F"
"449",283,1,4,341780,1,19,20,"F"
"450",328,1,4,343218,1,19,20,"F"
"451",437,1,4,344234,1,19,20,"F"
"452",342,1,4,345313,1,19,20,"F"
"453",360,1,4,346703,1,19,20,"F"
"454",389,1,4,348141,1,19,20,"F"
"455",375,1,4,349766,1,19,20,"F"
"456",280,2,4,351391,1,19,20,"F"
"457",264,1,4,353391,1,19,20,"F"
"458",298,2,4,355155,1,19,20,"F"
"459",313,1,4,357500,1,19,20,"F"
"460",297,2,4,359046,1,19,20,"F"
"461",359,1,4,360641,1,19,20,"F"
