"","rt","est","resp","laten","good","acu","seq","subN","Age","Sex"
"370",642.2,12,2,222095.3,1,1,1,2,24,"F"
"371",577.4,12,1,225670.6,1,1,2,2,24,"F"
"372",596.3,12,2,228048.5,1,1,3,2,24,"F"
"373",617.2,12,1,230975.2,1,1,4,2,24,"F"
"374",740.2,12,2,234833.2,1,1,5,2,24,"F"
"375",886.5,12,2,238541.5,1,0,6,2,24,"F"
"376",748.5,12,3,241019.2,1,1,7,2,24,"F"
"377",604.4,11,2,242981.4,1,1,1,2,24,"F"
"378",504.3,11,3,245143.2,1,1,2,2,24,"F"
"379",494.5,11,2,247205.2,1,1,3,2,24,"F"
"380",486,11,2,250963.4,1,1,4,2,24,"F"
"381",690.3,12,1,254455.5,1,1,1,2,24,"F"
"382",631.1,12,2,256650.5,1,1,2,2,24,"F"
"383",768.4,12,2,259161.5,1,1,3,2,24,"F"
"384",729,12,2,261655.8,1,1,4,2,24,"F"
"385",623.2,12,2,264649.1,1,1,5,2,24,"F"
"386",555.6,11,3,266544.8,1,1,1,2,24,"F"
"387",547.3,11,2,270352.8,1,1,2,2,24,"F"
"388",483.7,11,3,273429.2,1,1,3,2,24,"F"
"389",882.5,12,1,276505.6,1,0,1,2,24,"F"
"390",601.7,12,2,278617.5,1,1,2,2,24,"F"
"391",635.9,12,3,280662.9,1,1,3,2,24,"F"
"392",763.9,12,2,284354.5,1,1,4,2,24,"F"
"393",578.1,12,1,286715.8,1,1,5,2,24,"F"
"394",639.8,12,1,288827.7,1,1,6,2,24,"F"
"395",672.5,12,2,290806.6,1,1,7,2,24,"F"
"396",648.9,12,3,294481.6,1,1,8,2,24,"F"
"397",596.5,11,2,297491.5,1,1,1,2,24,"F"
"398",627.6,11,2,300085.6,1,1,2,2,24,"F"
"399",495.1,11,1,302131,1,1,3,2,24,"F"
"400",423.4,11,1,304209.6,1,1,4,2,24,"F"
"401",527.6,11,3,306886.9,1,1,5,2,24,"F"
"402",634.9,12,3,309314.7,1,1,1,2,24,"F"
"403",585.3,12,3,311243.7,1,1,2,2,24,"F"
"404",664,12,2,313488.6,1,1,3,2,24,"F"
"405",671,12,3,317313.3,1,1,4,2,24,"F"
"406",588.4,11,2,320273.3,1,1,1,2,24,"F"
"407",432.7,11,1,322834.1,1,1,2,2,24,"F"
"408",497.3,11,2,326093.4,1,1,3,2,24,"F"
"409",477.6,11,1,328787.3,1,1,4,2,24,"F"
"410",440.5,11,1,332096.5,1,1,5,2,24,"F"
"411",414.9,11,1,334707.3,1,1,6,2,24,"F"
"412",688.4,12,1,338199.4,1,1,1,2,24,"F"
"413",680.7,12,2,341957.6,1,1,2,2,24,"F"
"414",579.4,12,1,344235.7,1,1,3,2,24,"F"
"415",568.2,11,2,346613.7,1,1,1,2,24,"F"
"416",428.1,11,3,349507.1,1,1,2,2,24,"F"
"417",444.8,11,1,352932.7,1,1,3,2,24,"F"
"418",447.3,11,1,355892.7,1,1,4,2,24,"F"
"419",395.5,11,1,358969.1,1,1,5,2,24,"F"
"420",458,11,1,362561,1,1,6,2,24,"F"
"421",485.5,11,2,364789.2,1,1,7,2,24,"F"
"422",470.1,11,3,368431,1,1,8,2,24,"F"
"423",610.7,12,1,371374.3,1,1,1,2,24,"F"
"424",663.6,12,2,373968.5,1,1,2,2,24,"F"
"425",496.7,12,2,375980.6,1,1,3,2,24,"F"
"426",651.9,12,1,379722.1,1,1,4,2,24,"F"
"427",580.8,12,3,383580.1,1,1,5,2,24,"F"
"428",653.7,12,2,386091.1,1,1,6,2,24,"F"
"429",622.2,12,2,388485.6,1,1,7,2,24,"F"
"430",645.7,11,1,391828.1,1,1,1,2,24,"F"
"431",515.8,11,3,394472.1,1,1,2,2,24,"F"
"432",657,11,1,396733.7,1,1,3,2,24,"F"
"433",492.5,11,3,400591.6,1,1,4,2,24,"F"
"434",507.8,11,1,404333.1,1,1,5,2,24,"F"
"435",456.8,11,1,407160.1,1,1,6,2,24,"F"
"436",594.5,11,3,410319.6,1,1,7,2,24,"F"
"437",450.2,11,3,412980.2,1,1,8,2,24,"F"
"438",876.8,12,3,416222.9,1,0,1,2,24,"F"
"439",801.9,12,1,419848,1,1,2,2,24,"F"
"440",647.5,12,2,422126.2,1,0,3,2,24,"F"
"441",691.4,12,1,424421,1,1,4,2,24,"F"
"442",637.6,11,2,426516.3,1,1,1,2,24,"F"
"443",522.1,11,1,428744.6,1,1,2,2,24,"F"
"444",414.4,11,1,430723.4,1,1,3,2,24,"F"
"445",538.7,11,2,433068.1,1,1,4,2,24,"F"
"446",473.7,11,1,435279.8,1,1,5,2,24,"F"
"447",453.4,11,1,439021.3,1,1,6,2,24,"F"
"448",483.4,11,3,441781.8,1,1,7,2,24,"F"
"449",927.7,12,2,444409.2,1,0,1,2,24,"F"
"450",575.2,12,1,446570.9,1,1,2,2,24,"F"
"451",812.8,12,2,450445.5,1,1,3,2,24,"F"
"452",587.8,11,2,454203.7,1,1,1,2,24,"F"
"453",477.8,11,1,457396.4,1,1,2,2,24,"F"
"454",459.6,11,2,461088.1,1,1,3,2,24,"F"
"455",482.4,11,1,464946,1,1,4,2,24,"F"
"456",490.7,11,2,468404.9,1,1,5,2,24,"F"
"457",625.6,12,1,470982.4,1,1,1,2,24,"F"
"458",667.2,12,3,473044.4,1,1,2,2,24,"F"
"459",698.2,12,1,476237.2,1,1,3,2,24,"F"
"460",625.4,12,1,480078.5,1,1,4,2,24,"F"
"461",688.8,12,2,483154.9,1,1,5,2,24,"F"
"462",653.4,12,1,486364.3,1,1,6,2,24,"F"
"463",634.7,11,3,488975,1,1,1,2,24,"F"
"464",618.3,11,2,491469.4,1,1,2,2,24,"F"
"465",671,11,2,494895,1,1,3,2,24,"F"
"466",790.1,12,2,498420.3,1,1,1,2,24,"F"
