 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 454.3	 12	 3	 838135.3	 1	 1	 5	 BAMF_22091986	 1
 434.1	 12	 3	 840978.9	 1	 1	 6	 BAMF_22091986	 1
 526.3	 11	 3	 844803.5	 1	 1	 1	 BAMF_22091986	 1
 351	 11	 2	 848245.7	 1	 1	 2	 BAMF_22091986	 1
 389	 11	 3	 851139.2	 1	 1	 3	 BAMF_22091986	 1
 358.6	 11	 3	 853883	 1	 1	 4	 BAMF_22091986	 1
 371.3	 11	 3	 857192.2	 1	 1	 5	 BAMF_22091986	 1
 381	 11	 3	 860019.1	 1	 1	 6	 BAMF_22091986	 1
 420.2	 11	 3	 863311.7	 1	 1	 7	 BAMF_22091986	 1
 389.8	 11	 3	 866388	 1	 1	 8	 BAMF_22091986	 1
 656.7	 12	 2	 869264.9	 1	 1	 1	 BAMF_22091986	 1
 608.9	 12	 1	 871908.9	 1	 1	 2	 BAMF_22091986	 1
 826.5	 12	 2	 875367.7	 1	 0	 3	 BAMF_22091986	 1
 679.2	 11	 2	 15562.5	 1	 1	 1	 C_PB_09031993	 2
 634.1	 11	 1	 19171	 1	 1	 2	 C_PB_09031993	 2
 472	 11	 3	 21848.2	 1	 1	 3	 C_PB_09031993	 2
 679.9	 12	 2	 24342.6	 1	 1	 1	 C_PB_09031993	 2
 771.1	 12	 3	 27535.4	 1	 1	 2	 C_PB_09031993	 2
 789.6	 12	 2	 29896.7	 1	 1	 3	 C_PB_09031993	 2
 687.6	 12	 3	 33222.5	 1	 1	 4	 C_PB_09031993	 2
 526.1	 12	 3	 36864.3	 1	 1	 5	 C_PB_09031993	 2
 695.7	 12	 2	 39807.6	 1	 1	 6	 C_PB_09031993	 2
 635.3	 11	 2	 43582.4	 1	 1	 1	 C_PB_09031993	 2
 480	 11	 3	 45877.2	 1	 1	 2	 C_PB_09031993	 2
 411.3	 11	 3	 48571.1	 1	 1	 3	 C_PB_09031993	 2
 438.7	 11	 3	 50915.8	 1	 1	 4	 C_PB_09031993	 2
 455.5	 11	 3	 54058.7	 1	 1	 5	 C_PB_09031993	 2
 615	 11	 1	 57933.3	 1	 1	 6	 C_PB_09031993	 2
 534	 11	 2	 60876.6	 1	 1	 7	 C_PB_09031993	 2
 618.1	 12	 1	 63055.1	 1	 1	 1	 C_PB_09031993	 2
 679.6	 12	 1	 65532.8	 1	 1	 2	 C_PB_09031993	 2
 665.5	 12	 2	 68077	 1	 1	 3	 C_PB_09031993	 2
 608.2	 12	 1	 71818.6	 1	 1	 4	 C_PB_09031993	 2
 561.2	 11	 1	 74612.2	 1	 1	 1	 C_PB_09031993	 2
 571.3	 11	 2	 77938	 1	 1	 2	 C_PB_09031993	 2
 543.6	 11	 2	 81097.6	 1	 1	 3	 C_PB_09031993	 2
 491.9	 11	 1	 83874.6	 1	 1	 4	 C_PB_09031993	 2
 518.6	 11	 1	 85820.2	 1	 1	 5	 C_PB_09031993	 2
 524.5	 11	 2	 87898.9	 1	 1	 6	 C_PB_09031993	 2
 574.1	 11	 2	 91490.7	 1	 1	 7	 C_PB_09031993	 2
 503.5	 11	 2	 94101.5	 1	 1	 8	 C_PB_09031993	 2
 675.8	 12	 3	 96313.1	 1	 1	 1	 C_PB_09031993	 2
 869.4	 12	 3	 98923.9	 1	 0	 2	 C_PB_09031993	 2
 926.1	 12	 2	 102399.4	 1	 0	 3	 C_PB_09031993	 2
 551.7	 12	 1	 104644.3	 1	 1	 4	 C_PB_09031993	 2
 589.8	 12	 2	 107537.8	 1	 1	 5	 C_PB_09031993	 2
 586.5	 11	 2	 110298.2	 1	 1	 1	 C_PB_09031993	 2
 499.8	 11	 1	 114056.3	 1	 1	 2	 C_PB_09031993	 2
 524.6	 11	 1	 116633.9	 1	 1	 3	 C_PB_09031993	 2
 462.4	 11	 1	 119909.8	 1	 1	 4	 C_PB_09031993	 2
 477.2	 11	 3	 122154.7	 1	 1	 5	 C_PB_09031993	 2
 823.7	 12	 3	 124116.9	 1	 0	 1	 C_PB_09031993	 2
 659.2	 12	 1	 126312	 1	 1	 2	 C_PB_09031993	 2
 689	 12	 3	 130086.8	 1	 1	 3	 C_PB_09031993	 2
 598.5	 12	 2	 132398.2	 1	 0	 4	 C_PB_09031993	 2
 683.2	 12	 2	 135740.6	 1	 1	 5	 C_PB_09031993	 2
 646.2	 12	 1	 138218.4	 1	 1	 6	 C_PB_09031993	 2
 726.6	 12	 1	 140646.2	 1	 1	 7	 C_PB_09031993	 2
 647.7	 12	 1	 143040.8	 1	 1	 8	 C_PB_09031993	 2
 492.6	 11	 1	 145934.3	 1	 1	 1	 C_PB_09031993	 2
 496.2	 11	 1	 149443	 1	 1	 2	 C_PB_09031993	 2
 541.9	 11	 2	 152569.2	 1	 1	 3	 C_PB_09031993	 2
 505.9	 11	 2	 156194.4	 1	 1	 4	 C_PB_09031993	 2
 632.1	 12	 3	 158406	 1	 1	 1	 C_PB_09031993	 2
 577	 12	 1	 161149.8	 1	 1	 2	 C_PB_09031993	 2
 482	 12	 1	 163328.2	 1	 1	 3	 C_PB_09031993	 2
 482.8	 11	 1	 165406.9	 1	 1	 1	 C_PB_09031993	 2
 481.5	 11	 1	 167951.1	 1	 1	 2	 C_PB_09031993	 2
 549.7	 11	 2	 170628.4	 1	 1	 3	 C_PB_09031993	 2
 572.6	 11	 2	 173472	 1	 1	 4	 C_PB_09031993	 2
 522.2	 11	 1	 175716.9	 1	 1	 5	 C_PB_09031993	 2
 509	 11	 2	 178643.6	 1	 1	 6	 C_PB_09031993	 2
 792.7	 12	 2	 180905.2	 1	 1	 1	 C_PB_09031993	 2
 575.7	 12	 2	 184663.3	 1	 0	 2	 C_PB_09031993	 2
