 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 1144.6	 12	 2	 158210.6	 1	 1	 1	 BAHA_27122000	 2
 1112.5	 12	 3	 161642.7	 1	 1	 2	 BAHA_27122000	 2
 938.7	 12	 1	 165240.5	 1	 1	 3	 BAHA_27122000	 2
 920.5	 11	 1	 167362.7	 1	 1	 1	 BAHA_27122000	 2
 334.7	 11	 1	 169700.5	 1	 1	 2	 BAHA_27122000	 2
 519	 11	 2	 173348.1	 1	 1	 3	 BAHA_27122000	 2
 511.4	 11	 1	 176083.7	 1	 1	 4	 BAHA_27122000	 2
 807.8	 12	 3	 179731.3	 1	 1	 1	 BAHA_27122000	 2
 848.5	 12	 1	 182682.6	 1	 0	 2	 BAHA_27122000	 2
 796.3	 12	 1	 185318.8	 1	 0	 3	 BAHA_27122000	 2
 785.9	 12	 3	 188817.2	 1	 1	 4	 BAHA_27122000	 2
 1213.1	 12	 3	 191470	 1	 1	 5	 BAHA_27122000	 2
 723.6	 12	 3	 194487.5	 1	 1	 6	 BAHA_27122000	 2
 439.2	 12	 3	 197587.9	 1	 1	 7	 BAHA_27122000	 2
 627	 11	 2	 200224.1	 1	 1	 1	 BAHA_27122000	 2
 608.8	 11	 3	 202114.3	 1	 1	 2	 BAHA_27122000	 2
 628.5	 11	 3	 205894.5	 1	 0	 3	 BAHA_27122000	 2
 646.9	 11	 1	 209260.2	 1	 1	 4	 BAHA_27122000	 2
 609.9	 11	 3	 212377.2	 1	 1	 5	 BAHA_27122000	 2
 731.8	 12	 1	 216207.2	 1	 1	 1	 BAHA_27122000	 2
 1104.6	 12	 1	 218130.5	 1	 1	 2	 BAHA_27122000	 2
 1003.9	 12	 1	 221927.2	 1	 1	 3	 BAHA_27122000	 2
 923.4	 12	 3	 224911.6	 1	 1	 4	 BAHA_27122000	 2
 1292.9	 12	 2	 228526.1	 1	 1	 5	 BAHA_27122000	 2
 1281.5	 12	 3	 231825.5	 1	 1	 6	 BAHA_27122000	 2
 1077.8	 12	 3	 234677.2	 1	 1	 7	 BAHA_27122000	 2
 1059.7	 11	 3	 236567.3	 1	 1	 1	 BAHA_27122000	 2
 489.8	 11	 2	 239137.2	 1	 1	 2	 BAHA_27122000	 2
 558.4	 11	 1	 242436.6	 1	 0	 3	 BAHA_27122000	 2
 493.1	 11	 3	 244989.9	 1	 1	 4	 BAHA_27122000	 2
 530.1	 11	 1	 248504.9	 1	 1	 5	 BAHA_27122000	 2
 475.6	 11	 1	 251207.4	 1	 1	 6	 BAHA_27122000	 2
 511.9	 11	 3	 254059.1	 1	 1	 7	 BAHA_27122000	 2
 447.5	 11	 1	 256811.4	 1	 1	 8	 BAHA_27122000	 2
 1470	 12	 3	 258917	 1	 1	 1	 BAHA_27122000	 2
 1347.5	 12	 2	 262647.5	 1	 0	 2	 BAHA_27122000	 2
 1989	 12	 2	 265117.9	 1	 0	 3	 BAHA_27122000	 2
 1310.5	 12	 2	 268732.4	 1	 1	 4	 BAHA_27122000	 2
 1295.1	 12	 2	 272147.8	 1	 1	 5	 BAHA_27122000	 2
 752	 12	 3	 274866.9	 1	 1	 6	 BAHA_27122000	 2
 521.7	 11	 1	 277105.2	 1	 1	 1	 BAHA_27122000	 2
 508	 11	 1	 280470.9	 1	 1	 2	 BAHA_27122000	 2
 411.4	 11	 3	 282775.5	 1	 0	 3	 BAHA_27122000	 2
 642.7	 11	 3	 286224.2	 1	 1	 4	 BAHA_27122000	 2
 1202.4	 12	 1	 289208.5	 1	 1	 1	 BAHA_27122000	 2
 1257.9	 12	 3	 291281	 1	 1	 2	 BAHA_27122000	 2
 1150.2	 12	 3	 293900.7	 1	 0	 3	 BAHA_27122000	 2
 687.3	 11	 2	 297299.6	 1	 1	 1	 BAHA_27122000	 2
 355.7	 11	 2	 299919.2	 1	 1	 2	 BAHA_27122000	 2
 274.8	 11	 2	 302920.1	 1	 0	 3	 BAHA_27122000	 2
 506.2	 11	 3	 304992.6	 1	 1	 4	 BAHA_27122000	 2
 421.7	 11	 3	 306949.1	 1	 1	 5	 BAHA_27122000	 2
 385.1	 11	 3	 310513.7	 1	 1	 6	 BAHA_27122000	 2
 440.7	 11	 1	 313498.1	 1	 1	 7	 BAHA_27122000	 2
 388.8	 11	 1	 315438	 1	 1	 8	 BAHA_27122000	 2
 617.3	 12	 1	 317825.5	 1	 1	 1	 BAHA_27122000	 2
 1061.1	 12	 2	 321605.7	 1	 1	 2	 BAHA_27122000	 2
 863.8	 12	 1	 325187	 1	 1	 3	 BAHA_27122000	 2
 1696.5	 12	 3	 328370.3	 1	 1	 4	 BAHA_27122000	 2
 870.2	 12	 2	 331868.6	 1	 1	 5	 BAHA_27122000	 2
 573.5	 12	 2	 334173.3	 1	 1	 6	 BAHA_27122000	 2
 934.2	 12	 1	 336212.6	 1	 1	 7	 BAHA_27122000	 2
 591.8	 11	 1	 339827	 1	 1	 1	 BAHA_27122000	 2
 410.8	 11	 1	 342944	 1	 1	 2	 BAHA_27122000	 2
 384.3	 11	 1	 345530.5	 1	 1	 3	 BAHA_27122000	 2
 343.8	 11	 1	 348747	 1	 1	 4	 BAHA_27122000	 2
 1109.1	 12	 1	 351797.7	 1	 1	 1	 BAHA_27122000	 2
 909.6	 12	 3	 354981.1	 1	 1	 2	 BAHA_27122000	 2
 1235.7	 12	 3	 357783.1	 1	 1	 3	 BAHA_27122000	 2
 786.9	 12	 1	 360319.8	 1	 1	 4	 BAHA_27122000	 2
 471.1	 12	 1	 363171.6	 1	 0	 5	 BAHA_27122000	 2
 461.4	 11	 1	 366653.3	 1	 1	 1	 BAHA_27122000	 2
